,City, City Code, NUTS 2, Country,Year,Education Attainment ED 0-2,Education Attainment ED 3-4,Education Attainment ED 5-8
322,Zagreb,HR001C1,HR04,HR,2015,19.4,58.7,21.8
323,Zurich,CH001C1,CH04,CH,2015,11.2,40.3,48.4
324,Amsterdam,NL002C1,NL32,NL,2016,19.8,37.3,42.9
325,Ankara,TR001C1,TR51,TR,2016,49.6,21.7,28.6
326,Antwerp,BE002C1,BE2,BE,2016,22.6,39.5,37.9
327,Athens,EL001C1,EL30,EL,2016,18.0,44.0,38.0
328,Barcelona,ES002C1,ES51,ES,2016,39.6,21.9,38.6
329,Valencia,ES003C1,ES51,ES,2016,39.6,21.9,38.6
330,Belfast,UK012C1,UKN0,UK,2016,26.2,39.4,34.4
331,Belgrade, -,RS11,RS,2016,9.4,56.7,33.9
332,Bergen,NO002C1,NO05,NO,2016,15.3,42.1,42.6
333,Berlin,DE001C1,DE30,DE,2016,13.8,47.1,39.1
334,Birmingham,UK002C1,UKG3,UK,2016,29.7,37.8,32.5
335,Bologna,IT009C1,ITH5,IT,2016,33.6,45.7,20.7
336,Brasov,RO504C1,RO12,RO,2016,23.2,59.3,17.5
337,Bratislava,SK001C1,SK01,SK,2016,4.3,56.7,39.0
338,Bristol,UK011C1,UKK1,UK,2016,16.4,37.8,45.8
339,Brno,CZ002C1,CZ06,CZ,2016,4.6,69.8,25.6
340,Brussels,BE001C1,BE1,BE,2016,29.1,26.9,44.1
341,Bucharest,RO001C1,RO32,RO,2016,13.0,51.9,35.1
342,Budapest,HU001C1,HU11,HU,2016,8.4,49.8,41.9
343,Bursa,TR005C1,TR41,TR,2016,61.0,21.2,17.8
344,Cambridge,UK017C1,UKH1,UK,2016,22.6,39.6,37.8
345,Cluj-Napoca,RO002C1,RO11,RO,2016,24.5,58.1,17.4
346,Cologne,DE004C1,DEA2,DE,2016,17.3,52.4,30.3
347,Constanta,RO501C1,RO22,RO,2016,28.2,58.9,12.9
348,Copenhagen,DK001C1,DK01,DK,2016,15.1,35.7,49.2
349,Cork,IE002C1,IE05,IE,2016,19.5,39.7,40.9
350,Dublin,IE001C1,IE06,IE,2016,16.8,33.6,49.6
351,Dusseldorf,DE011C1,DEA1,DE,2016,18.9,54.6,26.5
352,Edinburgh,UK007C1,UKM7,UK,2016,16.6,32.5,50.9
353,Eindhoven,NL005C1,NL41,NL,2016,24.7,40.9,34.4
354,Frankfurt,DE005C1,DE71,DE,2016,15.8,50.8,33.3
355,Gdansk,PL006C1,PL63,PL,2016,8.9,60.5,30.6
356,Geneva,CH002C1,CH01,CH,2016,16.9,42.2,40.9
357,Gent,BE003C1,BE23,BE,2016,23.2,37.2,39.6
358,Glasgow,UK004C1,UKM3,UK,2016,20.0,32.2,47.8
359,Gothenburg,SE002C1,SE23,SE,2016,15.5,44.4,40.0
360,Hamburg,DE002C1,DE60,DE,2016,14.2,49.4,36.4
361,Iasi,RO502C1,RO21,RO,2016,30.7,57.7,11.5
362,Istanbul,TR012C1,TR10,TR,2016,58.7,18.7,22.6
363,Izmir,TR013C1,TR31,TR,2016,58.5,19.8,21.6
364,Kaunas,LT002C1,LT02,LT,2016,6.5,58.9,34.6
365,Krakow (Cracow),PL003C1,PL2,PL,2016,6.7,64.7,28.6
366,Leeds,UK003C1,UKE4,UK,2016,26.6,38.7,34.7
367,Limassol,CY501C1,CY00,CY,2016,20.5,37.6,41.9
368,Lisbon,PT001C1,PT17,PT,2016,40.4,27.3,32.3
369,Ljubljana,SI001C1,SI04,SI,2016,11.3,53.4,35.3
370,London,UK001K2,UKI,UK,2016,14.9,28.1,57.0
371,Luxembourg,LU001C1,LU00,LU,2016,21.6,35.8,42.6
372,Lyon,FR003C2,FRK2,FR,2016,17.9,43.8,38.3
373,Madrid,ES001C1,ES30,ES,2016,28.9,24.5,46.6
374,Manchester,UK008C1,UKD3,UK,2016,23.0,37.6,39.4
375,Milan,IT002C1,ITC4,IT,2016,36.8,43.9,19.3
376,Munich,DE003L1,DE21,DE,2016,9.9,51.7,38.4
377,Nicosia,CY001C1,CY0,CY,2016,20.5,37.6,41.9
